Latitude,Longitude
44.35°N,68.21°W
14.25°S,170.68°W
38.68°N,109.57°W
43.75°N,102.50°W
29.25°N,103.25°W
25.65°N,80.08°W
38.57°N,107.72°W
37.57°N,112.18°W
38.2°N,109.93°W
38.20°N,111.17°W
32.17°N,104.44°W
34.01°N,119.42°W
33.78°N,80.78°W
42.94°N,122.1°W
41.24°N,81.55°W
36.24°N,116.82°W
63.33°N,150.50°W
24.63°N,82.87°W
25.32°N,80.93°W
67.78°N,153.30°W
38.63°N,90.19°W
48.80°N,114.00°W
58.50°N,137.00°W
36.06°N,112.14°W
43.73°N,110.80°W
38.98°N,114.30°W
37.73°N,105.51°W
35.68°N,83.53°W
31.92°N,104.87°W
20.72°N,156.17°W
19.38°N,155.20°W
34.51°N,93.05°W
41.6533°N,87.0524°W
48.10°N,88.55°W
33.79°N,115.90°W
58.50°N,155.00°W
59.92°N,149.65°W
36.80°N,118.55°W
67.55°N,159.28°W
60.97°N,153.42°W
40.49°N,121.51°W
37.18°N,86.10°W
37.18°N,108.49°W
46.85°N,121.75°W
38.07°N,81.08°W
48.70°N,121.20°W
47.97°N,123.50°W
35.07°N,109.78°W
36.48°N,121.16°W
41.30°N,124.00°W
40.40°N,105.58°W
32.25°N,110.50°W
36.43°N,118.68°W
38.53°N,78.35°W
46.97°N,103.45°W
18.33°N,64.73°W
48.50°N,92.88°W
32.78°N,106.17°W
43.57°N,103.48°W
61.00°N,142.00°W
44.60°N,110.50°W
37.83°N,119.50°W
37.30°N,113.05°W
